"Ticker","Company Name","2015","2014","2013","2012","2011","2010","2009","2008"
"BMY","Bristol-Myers Squibb","114,761.4","98,048.8","87,644.4","53,382.4","59,555.6","45,121.9","43,278.5","46,011.8"
"BNI","Burlington Northern","N/A","N/A","N/A","N/A","N/A","N/A","33,603.7","25,679.4"
"BRCM","Broadcom Corp.","32,437.0","25,954.7","17,226.7","18,896.5","16,001.2","23,460.3","15,595.1","8,298.6"
"BRK.B","Berkshire Hathaway","325,485.6","350,649.9","277,110.3","209,574.5","179,157.5","187,814.1","145,221.5","142,264.5"
"BRL","Barr Pharmaceuticals Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BSC","Bear Stearns Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BSX","Boston Scientific","24,805.4","17,588.7","15,894.0","7,768.2","7,738.0","11,512.3","13,596.8","11,622.7"
"BTU","Peabody Energy","N/A","2,103.0","5,275.1","7,147.4","8,976.1","17,289.7","12,125.5","6,066.2"
"BUD","Anheuser-Busch Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BWA","BorgWarner Inc","9,689.8","12,442.3","12,743.7","8,277.3","6,916.7","8,127.2","3,881.4","2,515.1"
"BXLT","Baxalta","26,481.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BXP","Boston Properties","19,587.1","19,704.2","15,354.9","16,040.9","14,751.6","12,071.1","9,314.7","6,665.0"
"C","Citigroup Inc.","154,162.7","163,624.2","157,853.9","119,822.7","76,927.2","137,446.0","94,279.6","36,570.0"
"CA","CA, Inc.","12,530.5","13,547.4","14,912.7","9,907.8","9,703.9","12,320.0","11,565.0","9,527.8"
"CAG","ConAgra Foods Inc.","18,251.5","15,452.3","14,167.7","11,907.6","10,874.5","9,833.7","10,212.1","7,377.0"
"CAH","Cardinal Health Inc.","29,368.1","26,640.9","22,915.8","14,042.4","14,034.8","13,385.5","11,648.3","12,395.4"
"CAM","Cameron Int'l Corp.","12,078.5","9,738.9","13,181.6","13,928.5","12,077.7","12,373.8","10,226.7","4,446.3"
"CAT","Caterpillar Inc.","39,568.6","55,482.5","57,920.6","58,698.9","58,666.5","59,832.2","35,603.0","26,870.2"
"CB","Chubb Corp.","30,116.7","24,049.4","23,993.8","19,716.0","18,859.8","17,729.4","16,328.2","17,965.0"
"CBE","Cooper Industries","N/A","N/A","N/A","N/A","8,572.8","9,567.2","7,134.4","4,878.7"
"CBG","CBRE Group","11,555.5","11,404.9","8,729.7","6,568.6","4,991.7","6,627.2","4,366.4","1,133.3"
"CBH","Commerce Bancorp","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CBS","CBS Corp.","20,440.4","28,057.4","37,989.0","23,971.5","17,668.1","12,957.8","9,480.9","5,493.9"
"CC","Circuit City Stores Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CCE","Coca-Cola Enterprises","11,175.1","10,579.5","11,367.8","8,949.0","7,861.6","8,324.1","10,416.2","5,868.2"
"CCI","Crown Castle Int'l Corp.","28,854.5","26,274.5","24,530.8","21,154.8","12,743.3","12,746.9","11,428.2","5,071.2"
"CCL","Carnival Corp.","32,149.2","26,864.8","23,777.5","21,859.2","19,434.4","27,969.0","19,783.1","15,182.8"
"CEG","Constellation Energy Group","N/A","N/A","N/A","N/A","8,000.9","6,119.5","7,068.6","4,996.1"
"CELG","Celgene Corp.","94,090.0","89,510.4","69,227.0","32,937.9","29,574.5","27,818.7","25,573.3","25,380.7"
"CEPH","Cephalon Inc.","N/A","N/A","N/A","N/A","N/A","4,673.6","4,676.3","5,295.5"
"CERN","Cerner","20,584.5","22,135.3","19,161.6","13,338.6","10,385.9","7,886.1","6,741.5","3,085.7"
"CF","CF Industries Holdings Inc.","9,511.8","13,173.2","13,014.8","12,789.1","9,484.7","9,631.7","4,409.2","2,379.0"
"CFC","Countrywide Financial Corp.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
